date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:56:17	109/109	---M-Z	200	added ('OK')	text/plain	etag:%22662-1607104576;gz%22	https://autotrade.id/robots.txt		(from )
00:56:17	56632/56632	---MCZ	200	added ('OK')	text/html	etag:%22663-1607104577;gz%22	https://autotrade.id/	C:/My%20Web%20Sites/autotrade/autotrade.id/index.html	(from )
00:56:18	42/42	---M-Z	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2004%20Dec%202020%2017:56:18%20GMT	https://autotrade.id/xmlrpc.php	C:/My%20Web%20Sites/autotrade/autotrade.id/xmlrpc.php	(from https://autotrade.id/)
00:56:19	53907/53907	---M-Z	200	added ('OK')	text/css	date:Thu,%2027%20Aug%202020%2018:00:38%20GMT	https://autotrade.id/wp-includes/css/dist/block-library/style.min.css?ver=5.5.3	C:/My%20Web%20Sites/autotrade/autotrade.id/wp-includes/css/dist/block-library/style.min5697.css	(from https://autotrade.id/)
00:56:20	661/661	---MCZ	200	added ('OK')	text/css	etag:W/%22db3b745079e4606a70685c661ea1324b%22	https://use.fontawesome.com/releases/v5.12.0/css/brands.css?ver=5.5.3	C:/My%20Web%20Sites/autotrade/use.fontawesome.com/releases/v5.12.0/css/brands5697.css	(from https://autotrade.id/)
00:56:21	55753/55753	---MCZ	200	added ('OK')	text/css	etag:W/%22fc6ece0b999d414f53c25c3999397fee%22	https://use.fontawesome.com/releases/v5.12.0/css/fontawesome.css?ver=5.5.3	C:/My%20Web%20Sites/autotrade/use.fontawesome.com/releases/v5.12.0/css/fontawesome5697.css	(from https://autotrade.id/)
00:56:21	794142/794142	---M-Z	200	added ('OK')	text/css	date:Tue,%2006%20Oct%202020%2006:51:34%20GMT	https://autotrade.id/wp-content/themes/Divi/style.css?ver=4.6.5	C:/My%20Web%20Sites/autotrade/autotrade.id/wp-content/themes/Divi/style1dc6.css	(from https://autotrade.id/)
00:56:21	59009/59009	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Jul%202020%2017:11:03%20GMT	https://autotrade.id/wp-includes/css/dashicons.min.css?ver=5.5.3	C:/My%20Web%20Sites/autotrade/autotrade.id/wp-includes/css/dashicons.min5697.css	(from https://autotrade.id/)
00:56:21	96873/96873	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2017%20May%202019%2004:25:54%20GMT	https://autotrade.id/wp-includes/js/jquery/jquery.js?ver=1.12.4-wp	C:/My%20Web%20Sites/autotrade/autotrade.id/wp-includes/js/jquery/jquery4a5f.js	(from https://autotrade.id/)
00:56:21	813/813	---M--	200	added ('OK')	application/rss+xml	etag:%22a7a81eb1b01df9a2d409fbde2ab6c01b%22	https://autotrade.id/feed/	C:/My%20Web%20Sites/autotrade/autotrade.id/feed/index.html	(from https://autotrade.id/)
